job_name,comp_name,job_desc,job_tags
【亞馬遜Amazon】電商實習生 (兼職、轉正機會) Amazon Project Assistant Intern（Part-time）,Hour Loop 飛輪電商,"遠見，善於溝通和帶領團隊，你可能就是未來的帶人主管！
我們提供彈性且暢通的職涯管道，讓你從實習生就能參與重要專案並獨立解決問題！
1. 職涯發展管道：入職新人由專案助理實習生 （Project Assistant","['Tableau', 'SQL/MySQL', 'R', '']"
社群行銷實習生 / Social Media Marketing Intern,Cake,"象級 AI 求職產品的打造！
&nbsp;
職缺介紹
隨著 Cake 社群帳號的快速成長，我們正在積極尋找 2 位社群行銷實習生加入團隊。身為 Cake 行銷團隊的一員，你將會參與台灣 B2C 社群行銷的各項操作，通過運營 LINE 官","['社群行銷', 'Social Media Platforms', 'Social Media Marketing', '']"
Business Intern 商務實習生,Cake,"你將參與全球現象級 AI 求職產品的打造！


職缺介紹
Cake 正在尋找對商務開發與人才產業有熱忱的實習夥伴加入我們！Business Intern 將與 Cake 商務團隊密切合作，在這段實習旅程中，你將有機會學習並參與：
如","['新鮮人', '實習', '客戶經理', '']"
行銷實習生,Dcard 狄卡科技股份有限公司,Dcard 是在年輕族群有極高滲透率與影響力的社群平台。我們致力於打造一個讓每個人都可以放心分享自己故事的地方，讓平凡人分享不平凡故事的新世代社群服務。我們期待行銷實習生的加入,"['社群經營', '短影音', 'Premiere']"
【 2025 第六屆數位青年 T 大使計畫｜最後候補機會開放中！】快來參與免費 13 週培訓，還有 10.9 萬實作獎勵金！,數位青年T大使推動計畫,"【2025 第六屆數位青年 T 大使計畫｜候補機會開放中！】
有機會進入台灣大哥大、安永諮詢、和碩聯合科技等知名企業免費接受 13 週培訓，能力大躍進
結訓並通過評核還可領 10.9 萬實作獎勵金，千萬","['運動科技', '軟體', '資訊安全', '', '']"
實習社群小編 (遠距作業）,社團法人台灣亞太新賢同創協會,"🚀JOBUS實習，成為社群小編實習生，啟蒙你的職場生涯，讓世界聽見你的聲音！📣
🌈 職缺：（遠距作業）實習社群小編 （在家工作也能成為社交媒體達人！）
🔥【工作內容不是夢】1. 負責社群發文內容編輯與粉","['社群行銷', '社群經營', '社群小編', '']"
2025 數位行銷秋季實習生計劃,Hububble 集客式行銷公司｜HubSpot 台灣最高等級代理商,"我們注重創新和團隊合作，並為每位成員提供成長和發展的機會。&nbsp; &nbsp;
👀  我們正在尋找一位數位行銷實習生。如果你對科技產業充滿興趣，並渴望探索更多其他類型工作的可能性，這是你不能錯過的",[]
SEO與行銷數據分析實習生（在學或兼職亦可）,零一成長行銷有限公司,事就不難，如果你是喜歡挑戰有獨立解決問題的能力，歡迎你主動提出想法你可以與創辦人或PM一起提升專案的高度與極限！參加過我們戰鬥營及實習計畫的同學，有錄取dcard、綠藤生機、嬌生、L’oreal<,"['python', 'LLMs prompting', 'chatgpt']"
美商電子科技公司_行銷實習生_Marketing Operations Intern (Sep-Dec),Cake Recruitment Consulting,"🪓&nbsp;Job Title: Marketing Operations Intern (3 months)  💡 Department: Global Marketing Operations 
🔑 Responsibilities: 
Assist in reviewing, optimizing and correcting content to enhance the accuracy and usability of key product pages. Support data entry in website backend systems, including uploading marketing assets and maintaining content. Assist with sample room management, includ",['']
高曼計量 ｜ 行銷企劃實習生 Marketing Intern,高曼計量財務管理顧問股份有限公司 /高曼證券投資顧問股份有限公司,"協助對外文宣的視覺設計協助其他主管交辦事項
實習轉正
高曼集團提供職場能力表現優異的實習夥伴優先轉正職的機會，歡迎想一起踏入金融科技產業的應屆畢業生一起加入我們！
原實習","['Microsoft Office', 'Illustrator', 'Canva', '']"
【Taiwan Mobile 實習計畫】Intern-品牌與社群經營,台灣大哥大,「台灣大實習計畫」熱烈招募中，實習生不限國籍、實習時間不限寒暑假、實習期間將由專屬導師(Mentor)帶領您，讓您和業界接軌，成為引導 Web 3 新時代的科技菁英，跟著我們一起 Open Possible 展開您的人生新篇,[]
People & Operations Intern 人資實習生,Cake,"About Cake
Established in 2016 in Taiwan, Cake is an international talent community and platform providing comprehensive solutions for job seekers. By offering AI tools for resumes and portfolios, job search strategies, networking resources, and international job opportunities, Cake meets all needs in career development. With over 8 million users worldwide and collaborations with over 10,000 companies, Cake helps talent find the most suitable place at different stage",[]
Business Operation Internship 客戶關係經營實習生,inline 樂排股份有限公司,"About inline 
inline is a software startup focused on maximizing restaurant efficiency managing tables and reservations. We have thousands of restaurants including leading chain brands, Michelin-starred restaurants, shopping malls, and busy brick-and-mortar restaurants. We also partner with food-tech platforms, social apps, and various media services to grow the exposure and business for inline restaurant customers. Our team is launc","['Python', 'Google Drive', 'Google Apps Script', '']"
UIUX 設計實習生 / 短期設計助理,Goons Design 果思設計,大家好！我們是果思設計，果思是個熱情有活力的團隊，擁有完整的 PM、UX、UI跟開發團隊，與富挑戰性的專案，希望能找到與我們一起努力的夥伴！官網看更多 👉 https://www.goonsdesign.com/📌 工作內容：1.,"['實習', '使用體驗設計', 'Web', '']"
Python 實習生  – 資料科學/AI 應用方向,Stark Tech 鷹翔有限公司,"【關於我們 - Stark Tech】
Stark Tech 致力於成為傳統產業與數位科技之間的橋樑。我們深入理解各行業的場景與商業模式，為客戶提供高效、實用且高性價比的數位化解決方案，協助企業提升經營效率，並擁抱","['實習', 'AI 開發工程師', '資料工程師', '']"
CorporateConnections® 活動策劃 - 實習生,CorporateConnections® Taiwan 大商匯集有限公司,"【實習機會｜CorporateConnections® Taiwan 招募中】
想在國際級商務人脈平台累積實戰經驗嗎？
CorporateConnections® Taiwan 正在招募實習生，加入我們，與32國企業領袖零距離接觸，累積專業能力與國際視野！
🔹 實習內容


協助活動規劃與現場","['大商匯集有限公司', '大商匯集', '大商', '']"
[外商長期實習Internship] HR/Hunter/Social Media intern 人資/獵才/社群行銷實習生 (半年以上/平日三天/一對一導師制),新加坡商立可人事顧問有限公司台灣分公司 Recruit Express (Taiwan),"投遞前請先至以下平台瀏覽我們的公司文化Facebook
Instagram
Medium(顧問心得分享)  
Podcast (立可職場文","['台灣台北', 'internship', 'intern', '']"
招募顧問實習生,InAddition Consultants Ltd.,"職位介紹
此職位可以每周來公司二~三天，彈性依照課表與其他行程可以和主管彈性討論，主要協助公司內的招募顧問搜尋合適的人才
職務介紹
我們期待你可以貢獻的最基本任務協助進行人",[]
【AmazingTalker】影音實習生-剪輯 | 行銷 （無經驗可）,AmazingTalker,"About Us
AmazingTalker 致力建立一個全方位的&nbsp;線上教學平台，讓任何人都可以找到最適合自己的&nbsp;家教，以不斷提昇線上教師收入為使命。始於 2017 年，目前平台上約有 10,000 名教師、超過 220 萬名學生，以及進行 550 萬","['Media & Social Media', 'Media Production', 'Maketing', '']"
行銷企劃實習生Marketing Intern,上策行銷有限公司 Bespo Marketing,【Bespo實習生培訓系統】第一步、到職註冊第二步、口碑行銷基礎概念培訓第三步、初試考核 (到職滿一個月)考核六項口碑行銷基礎能力通過與否將決定實習生之去留通過者將進入第二階段完整寫,"['excel', 'powerpoint', 'word']"
空間設計實習生,非我設計｜UNME DESIGN,"公司內部的任務涵蓋品牌設計、空間設計、建築、市場、行銷、廣告投放等領域，請先至 UNME 官網理解我們的商業模式，並在應徵實習生時清楚說明：

你希望在 UNME 學習的面向
你的個人特質與專長
預計實習","['Slack', 'SketchUp', 'Notion', '']"
行銷實習生,智谷網絡股份有限公司,"【在投遞之前】
“將知識傳播給更多人知道; 促動他人的成長，是種渾然天成的熱忱！”
如果你能夠體會並認同以上這段話，歡迎參與這次我們的招募計畫。
因為，這是我們立基20多年的文化，
20多年學習","['台北', 'Premiere', 'final cut pro', '']"
JAVA 助理工程師 (工讀/實習) (需會Java程式)﻿ 每周白天須至公司2~3天 (不接受遠端與短期工讀),雲集科技行銷有限公司,如果您想有全方位的系統開發建置學習機會，想要挑戰系統開發的領域，未來想要能獨當一面，而不是只在大公司裡當個螺絲釘人才，我們會是你的選擇。&nbsp; &nbsp;公司專案項目：既有系統維護除錯、客製化,"['SQL', 'AJAX', 'XML', '']"
※學習型※ Web3 數位行銷規劃培訓/實習生【免費培訓/無給薪實習（Free Training/Unpaid Internship）】,Crypto-Arsenal（奇策智能雲端股份有限公司）,"本學習型實習計劃針對以下兩種人才所設計：
想轉職成為符合業界標準具即戰力的 Web3 數位行銷人才尚在學學生希望在畢業前體驗業界實務經驗，並累積影音作品集
招收對以下有興趣者：
區塊",['Canva']
※學習型※ Web3 前、後端軟體研發、DeFi 協議設計、ZKP 研究培訓/實習生【免費培訓/無給薪實習（Free Training/Unpaid Internship）】,Crypto-Arsenal（奇策智能雲端股份有限公司）,"本學習型實習計劃針對以下兩種人才所設計：
想轉職成為符合業界標準具即戰力的 Web3 軟體開發人才尚在學學生希望在畢業前體驗業界實務經驗，並累積 Github 作品集※此網站是我們指導培訓實習","['javescript', 'React.js', 'TypeScript', '']"
付費運營實習生,MEXC,"付費渠道優化和拓展： 精通在各種廣告平台上優化活動，包括Google, Meta廣告、廣告網絡、TikTok廣告等。 數據驅動優化：圍繞核心 KPI（例如ROAS、CPA等），跟蹤、分析和優化每個活動，以識別優化用戶渠道的機會，分解覆",[]
台股/數幣量化交易實習生,衍盛金融科技有限公司,"交易有濃厚興趣；3. 有團隊意識，樂於溝通。
【如果你想加入...】• 請告知你希望申請台股或數幣實習；•請提供你的履歷，讓我們認識你的經歷及背景； • 若有相關工作經驗，請簡述該經驗;• 請告訴我們","['statsmodels', 'Quantitative Trading', 'pytorch', '']"
軟體測試工程師助理(實習工讀生) (策略與新創事業部/數位開發中心)-歡迎學年實習 資訊科系學生,TVBS聯利媒體股份有限公司,TVBS開發團隊對於軟體的品質有最高的要求。我們致力於以穩定的開發速率，持續地交付有價值的軟體來滿足客戶需求，並以全局為考量穩定改善團隊及消除多餘的浪費。我們深信最佳的架構與,"['台灣台北', 'word', 'Function Test', '']"
日本商務開發實習生 Japanese Business Development Intern,GliaCloud 集雅科技,協助 GliaCloud 產品推廣至日本業務銷售及提案充分理解 GliaCloud 產品，與日本客戶開會、維護客戶關係並提供顧問服務協助準備海內外行銷活動、展覽與材料文件蒐集市場情報，分析策略並撰寫報告書其他,[]
創新實驗室-商業開發助理/行政助理/實習工讀生 (數位健康),永悅健康股份有限公司,"H2U 為台灣最大數位健康服務平台，2019 年獲選為 IFAH全球前50 大數位健康照護公司，目標是建立創新數位健康生態圈、走向國際，成為全球華人數位健康第一品牌。

為了讓H2U 各業務能專注服務客戶引","['儲備幹部', '主管特別助理', '市場調查／市場分析ㄝExcel', '']"
※學習型※ Web3 - App UI/UX 培訓/實習設計師【免費培訓/無給薪實習（Free Training/Unpaid Internship）】,Crypto-Arsenal（奇策智能雲端股份有限公司）,"本學習型實習計劃針對以下三種人才所設計：
想轉職成為符合業界標準具即戰力的 UIUX 與 PO 人才尚在學學生希望在畢業前體驗業界實務經驗，並累積作品集已在職 Web2 UIUX 設計師，想要轉換跑道到","['Figma基礎功能', 'figma(學習中)']"
Video Intern 社群影音實習生,Cake,"Cake 社群帳號的快速成長，我們計畫發展更多的短影音和 YouTube 長片內容，我們正在積極尋找 社群影音實習生 加入我們的台灣行銷團隊。
身為 Cake 行銷團隊的一員，期待你能夠透過創意靈活、成效顯著的","['社群行銷', '社群企劃', '影音剪輯', '']"
課程行政助理 (工讀/實習),言果學習股份有限公司,我們是一家致力於「企業培訓」的公司，提供各種人力資源解決方案，例如：實體課程、數位課程、混合式培訓和AI互動學習，客戶主要是上市上櫃公司及外商企業。我們喜歡探索新的教學方法，並致力於,[]
Recruitment Consultant Intern — 人才招募顧問實習生 (提供轉正職機會),Cake,"關於 Cake&nbsp;
Cake 是 2016 年成立於台灣的國際人才社群，以「聚焦人才的價值與歸屬」為核心，提供履歷與作品集 AI 工具、求職攻略、職場交流社群資源及國際化工作機會，全方位滿足職涯發展中的所有需求。Cake","['獵頭', '獵才', '招募顧問', '']"
獵才顧問實習生 / Recruitment Consultant (歡迎新鮮人),Accurate愛客獵-1111高階獵才中心,Accurate愛客獵 是1111人力銀行集團旗下唯一獵才品牌。自2008年成立高階獵才中心，於2021年獨立服務品牌公司。服務企業遍及台灣、亞太、歐美地區，招募範疇涵蓋經營管理、財務金融、業務行銷、工程技術、資訊,"['實習', '獵頭', 'headhunt', '']"
市場行銷實習生,非我設計｜UNME DESIGN,"設計、行銷與數位媒體有熱情，並希望累積實務經驗、學習跨部門協作與專案管理，歡迎加入我們的實習行列。
∞ 建議規劃半年以上的實習長度，較能獲得完整的學習。
目前公司內部的任務涵蓋品牌設","['Word', 'Slack', 'PowerPoint', '']"
SEO商務開發實習生,零一成長行銷有限公司,力，歡迎你主動提出想法你可以與創辦人或PM一起提升專案的高度與極限！參加過我們戰鬥營及實習計畫的同學，有錄取dcard、綠藤生機、嬌生、L’oreal等知名公司及國外知名研究所，只要你敢夢也有行,[]
行銷實習生 Marketing Intern,COMMEET＿擁樂數據服務股份有限公司,金流服務，期待以科技落實費用管理，並攜手企業為員工打造更友善的工作環境。[職務定義]COMMEET 行銷實習生將參與短影音企劃與製作，親身體驗如何透過客戶訪談與產品影片呈現品牌價值；經營 SEO,[]
